0:ChangeWindowMode実行 
0:ウインドウモードフラグが立てられました
1:ＤＸライブラリの初期化処理開始
1:	システムの情報を出力します
2:		ＤＸライブラリ Ver3.24b
2:		論理プロセッサの数 : 16
2:		ＯＳ  Windows11 ( Build 22621  )
103:		現時点のＣＰＵ動作速度：大体3.78GHz
103:		ＭＭＸ命令を使用します
103:		ＳＳＥ命令が使用可能です
103:		ＳＳＥ２命令が使用可能です
103:		ＣＰＵベンダ：GenuineIntel
105:		ＣＰＵ名：Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz
105:	ＣＯＭの初期化... 成功
107:	非同期読み込み処理の初期化...成功
108:	ファイルアクセス処理の初期化...成功
108:	メモリ総量:32601.56MB  空きメモリ領域:18804.30MB 
109:	タイマーの精度を検査します
109:	精度結果 更新回数 マルチメディアタイマー：0  パフォーマンスカウンター：60
109:	 パフォーマンスカウンターを使用します タイマー精度 : 10000.000000 KHz 
109:	 
110:	ソフトの二重起動検査... 二重起動はされていませんでした
110:	ウインドウクラスを登録します... 登録に成功しました
111:	ウインドウモード起動用のウインドウを作成します
111:	ディスプレイ情報のセットアップ開始
111:		モニターの数：2  ディスプレイデバイスの数：7
112:		No.0  モニター名：\\.\DISPLAY1　2560x1080　32bit　144Hz  96x96dpi
112:		No.1  モニター名：\\.\DISPLAY2　2560x1080　32bit　144Hz  96x96dpi
172:	ディスプレイ情報のセットアップ完了
172:	ウインドウ矩形 ( 624, 129 )-( 1920, 888 )
178:	ウインドウの作成に成功しました
178:	ウインドウを表示します
198:	ＩＭＥを無効にしました
199:	ウインドウスタイルをウインドウモード用に変更します... 完了
224:	XInput DLL の読み込み中... 成功
228:	DirectInput関係初期化処理
228:		DirectInput8 の取得を試みます...成功
302:			引き続き初期化処理... 初期化成功
303:		ジョイパッドの初期化... 
303:			XInput 対応コントローラーのチェックを開始します
303:				XInput 対応コントローラー No.0 をチェック
306:				XInput 対応コントローラー No.0 の接続を確認しました
306:				XInput 対応コントローラー No.0 を入力ナンバー 0 で登録します
306:				XInput 対応コントローラー No.1 をチェック
306:				XInput 対応コントローラー No.1 の接続は確認できませんでした
307:				XInput 対応コントローラー No.2 をチェック
307:				XInput 対応コントローラー No.2 の接続は確認できませんでした
